pr_number,changed_file,snapshot_dir
715,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase5_click_previous_conversation.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase6_conversation_loaded.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase5_landing_screen.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_iterative_refinement_case_a/TestIterativeRefinementCaseA.test_initial_state[cli447_hi_followup_iterative_case_a].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_iterative_refinement_case_b/TestIterativeRefinementCaseB.test_initial_state[cli447_hi_followup_iterative_case_b].svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase2_multiline_mode_toggled.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase3_command_typed.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase2_large_text_typed.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase3_all_text_selected.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase4_text_deleted.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/e2e/__snapshots__/test_skills_command/TestSkillsCommand.test_skills_command_with_skills.svg,tests/snapshots/e2e/__snapshots__/
715,tests/snapshots/test_history_search_snapshots.py,tests/snapshots/test_history_search_snapshots.py
698,tests/snapshots/e2e/__snapshots__/test_auto_focus/TestAutoFocusPreservesCharacter.test_auto_focus_preserves_typed_character.svg,tests/snapshots/e2e/__snapshots__/
698,tests/snapshots/e2e/test_auto_focus.py,tests/snapshots/e2e/test_auto_focus.py
662,tests/snapshots/e2e/conftest.py,tests/snapshots/e2e/conftest.py
515,tests/snapshots/e2e/__snapshots__/test_app_initial_state/TestAppInitialState.test_app_initial_state.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_app_with_typed_input/TestAppWithTypedInput.test_app_with_typed_input.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase1_initial_state[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase1_history_panel.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase3_new_conversation.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase5_click_previous_conversation.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase6_conversation_loaded.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase5_landing_screen.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase2_multiline_mode_toggled.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase3_command_typed.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
515,tests/snapshots/e2e/__snapshots__/test_skills_command/TestSkillsCommand.test_skills_command_with_skills.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_app_initial_state/TestAppInitialState.test_app_initial_state.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_app_with_typed_input/TestAppWithTypedInput.test_app_with_typed_input.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase1_initial_state[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase6_low_risk_auto_proceeds[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_creating_agent_plan/TestCreatingAgentPlan.test_creating_agent_plan_conversation[creating_agent_plan].svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase1_history_panel.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase3_new_conversation.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase5_click_previous_conversation.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase6_conversation_loaded.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenExit.test_phase1_settings_page.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenExit.test_phase2_exit_page.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenExit.test_phase3_exit_confirmed.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase1_settings_page.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase2_exit_page.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase3_returned_to_settings.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase4_form_filled.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase5_landing_screen.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase2_multiline_mode_toggled.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase3_command_typed.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase2_large_text_typed.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase3_all_text_selected.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_select_all/TestSelectAllFunctionality.test_phase4_text_deleted.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/__snapshots__/test_skills_command/TestSkillsCommand.test_skills_command_with_skills.svg,tests/snapshots/e2e/__snapshots__/
511,tests/snapshots/e2e/test_select_all.py,tests/snapshots/e2e/test_select_all.py
504,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase4_high_risk_confirmation_panel[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase6_low_risk_auto_proceeds[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_creating_agent_plan/TestCreatingAgentPlan.test_creating_agent_plan_conversation[creating_agent_plan].svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
504,tests/snapshots/e2e/test_creating_agent_plan.py,tests/snapshots/e2e/test_creating_agent_plan.py
497,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase4_high_risk_confirmation_panel[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase6_low_risk_auto_proceeds[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
497,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_app_initial_state/TestAppInitialState.test_app_initial_state.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_app_with_typed_input/TestAppWithTypedInput.test_app_with_typed_input.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase1_initial_state[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase1_history_panel.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase3_new_conversation.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase5_click_previous_conversation.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase6_conversation_loaded.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase5_landing_screen.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase2_multiline_mode_toggled.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase3_command_typed.svg,tests/snapshots/e2e/__snapshots__/
496,tests/snapshots/e2e/__snapshots__/test_skills_command/TestSkillsCommand.test_skills_command_with_skills.svg,tests/snapshots/e2e/__snapshots__/
495,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase4_high_risk_confirmation_panel[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase6_low_risk_auto_proceeds[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
490,tests/snapshots/e2e/__snapshots__/test_skills_command/TestSkillsCommand.test_skills_command_with_skills.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_app_initial_state/TestAppInitialState.test_app_initial_state.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_app_with_typed_input/TestAppWithTypedInput.test_app_with_typed_input.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase1_initial_state[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase1_history_panel.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase3_new_conversation.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase5_click_previous_conversation.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase6_conversation_loaded.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase5_landing_screen.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase1_initial_state.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase2_multiline_mode_toggled.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase3_command_typed.svg,tests/snapshots/e2e/__snapshots__/
480,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase2_confirmation_panel_auto_low_med_highlighted[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase3_auto_low_med_selected[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase4_high_risk_confirmation_panel[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase5_high_risk_action_confirmed[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_confirmation_mode/TestConfirmationMode.test_phase6_low_risk_auto_proceeds[confirmation_mode].svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_creating_agent_plan/TestCreatingAgentPlan.test_creating_agent_plan_conversation[creating_agent_plan].svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_echo_hello_world/TestEchoHelloWorld.test_echo_hello_world_conversation.svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_multiline_mode_submit/TestMultilineModeSubmit.test_phase4_conversation_completed.svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/__snapshots__/test_skills_command/TestSkillsCommand.test_skills_command_with_skills.svg,tests/snapshots/e2e/__snapshots__/
474,tests/snapshots/e2e/conftest.py,tests/snapshots/e2e/conftest.py
474,tests/snapshots/e2e/test_skills_command.py,tests/snapshots/e2e/test_skills_command.py
454,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase1_history_panel.svg,tests/snapshots/e2e/__snapshots__/
454,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase2_first_conversation.svg,tests/snapshots/e2e/__snapshots__/
454,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase3_new_conversation.svg,tests/snapshots/e2e/__snapshots__/
454,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase4_second_conversation.svg,tests/snapshots/e2e/__snapshots__/
454,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase5_click_previous_conversation.svg,tests/snapshots/e2e/__snapshots__/
454,tests/snapshots/e2e/__snapshots__/test_history_panel/TestHistoryPanelFlow.test_phase6_conversation_loaded.svg,tests/snapshots/e2e/__snapshots__/
454,tests/snapshots/e2e/test_history_panel.py,tests/snapshots/e2e/test_history_panel.py
433,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenExit.test_phase1_settings_page.svg,tests/snapshots/e2e/__snapshots__/
433,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenExit.test_phase2_exit_page.svg,tests/snapshots/e2e/__snapshots__/
433,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenExit.test_phase3_exit_confirmed.svg,tests/snapshots/e2e/__snapshots__/
433,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase1_settings_page.svg,tests/snapshots/e2e/__snapshots__/
433,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase2_exit_page.svg,tests/snapshots/e2e/__snapshots__/
433,tests/snapshots/e2e/__snapshots__/test_initial_setup_flow/TestInitialSetupCancelThenReturn.test_phase3_returned_to_settings.svg,tests/snapshots/e2e/__snapshots__/
