pr_number,pr_title,pr_author,pr_state,pr_created_at,pr_merged_at,pr_additions,pr_deletions,pr_changed_files_count,pr_labels,pr_head_branch,pr_base_branch,pr_review_decision,pr_is_draft,pr_review_count,pr_reviewer_logins,pr_commit_count,hours_to_merge,hours_to_first_review,authorship,is_bot_author,has_any_agent_marker,agent_marker_conversation_link,agent_marker_coauthored,agent_marker_try_pr,touches_tui_files,touches_snapshot_files,touches_test_files,snapshot_svgs_changed,has_linked_issue,linked_issue_count,linked_issue_numbers,linked_issue_authors,release_tag,release_date,h_pr_type,h_bug_severity,h_touches_tui,h_authorship,h_has_snapshot_changes,h_issue_reporter_type,llm_pr_type,llm_bug_severity,llm_touches_tui,llm_rationale
630,build: add 7-day uv freshness guardrail,enyst,merged,2026-04-01T18:20:59Z,2026-04-02T13:55:13Z,14,0,2,review-this,oh/uv-exclude-newer-7days,main,APPROVED,false,13,"enyst,all-hands-bot",4,19.57,0.04,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.14.0,2026-04-02,feature,,false,agent,false,no-issue,ci,,false,"This PR updates the build tool configuration (tool.uv settings) and regenerates the lock file, affecting the CI/build process rather than application logic or user-facing features."
628,skills: add cli-release skill for guided release workflow,xingyaoww,merged,2026-04-01T14:51:21Z,2026-04-06T13:25:01Z,364,0,2,,add-cli-release-skill,main,APPROVED,false,9,"openhands-ai[bot],malhotra5,all-hands-bot,xingyaoww",6,118.56,26.95,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,feature,,false,agent,false,no-issue,feature,not-applicable,false,"This PR introduces a new `cli-release` agent skill, adding functionality for a guided release workflow through new Markdown files. It’s an enhancement rather than a bug fix, documentation update, or CI change."
625,docs: update README trusted-by logos for dark mode,jamiechicago312,merged,2026-03-31T15:15:27Z,2026-03-31T16:06:29Z,50,16,1,,readme-dark-mode-company-logos,main,APPROVED,false,1,enyst,1,0.85,0.85,human,false,false,false,false,false,false,false,false,0,false,0,,,1.14.0,2026-04-02,docs,,false,human,false,no-issue,docs,,false,"This PR solely updates the README documentation to support dark-mode logos, without touching application code or UI components."
622,Bump SDK packages to v1.16.0,all-hands-bot,merged,2026-03-31T00:08:14Z,2026-03-31T01:17:13Z,10,10,2,,bump-sdk-1.16.0,main,APPROVED,false,2,"enyst,all-hands-bot",1,1.15,0.02,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.14.0,2026-04-02,version-bump,,false,bot,false,no-issue,dependency-bump,,false,"This automated PR solely updates SDK package versions to v1.16.0 in configuration files, without any user-facing or TUI code changes."
621,tui: refactor richlog visualizer rendering paths (#618),enyst,merged,2026-03-30T23:53:49Z,2026-03-31T01:26:27Z,204,124,3,,openhands/richlog-visualizer-rendering-cleanup,main,APPROVED,false,1,all-hands-bot,3,1.54,0.05,agent,false,true,false,false,true,true,false,true,0,true,1,618,github-actions,,,refactor,,true,agent,false,human,refactor,,true,"This PR restructures the richlog visualizer code in the TUI module by extracting helper functions and simplifying rendering paths, with no intended visual changes. It improves code quality and test coverage without altering user-facing behavior."
620,fix(types): add -> None return type to __init__ methods,app/github-actions,merged,2026-03-30T09:47:14Z,2026-03-30T23:44:33Z,6,6,6,,fix/code-quality/add-return-type-hints,main,APPROVED,false,1,enyst,2,13.96,13.87,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.14.0,2026-04-02,bug-fix,polish,true,bot,false,no-issue,refactor,,true,This PR purely adds explicit `-> None` return type annotations to various `__init__` methods for improved type consistency and does not change runtime behavior.
619,fix(tui): add type alias for collapsible content parameter,app/github-actions,merged,2026-03-30T09:42:42Z,2026-03-31T03:48:44Z,8,5,1,,fix/code-quality/collapsible-type-alias,main,APPROVED,false,1,enyst,3,18.1,13.97,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.14.0,2026-04-02,bug-fix,polish,true,bot,false,no-issue,refactor,,true,"This PR refactors the Collapsible widget by replacing a broad Any type with a precise CollapsibleContent alias for improved type safety and IDE support. It makes no behavioral changes, only updates type hints and removes unused imports."
617,Add trusted-by logos to top of README,jamiechicago312,merged,2026-03-27T13:49:23Z,2026-03-27T14:34:40Z,22,1,1,,add-readme-trusted-logos,main,APPROVED,false,2,enyst,4,0.75,0.19,human,false,false,false,false,false,false,false,false,0,false,0,,,1.14.0,2026-04-02,feature,,false,human,false,no-issue,docs,,false,"This PR purely enhances the README by adding a ‘Trusted by engineers at’ section with logos, which is a documentation change and does not affect application code or terminal UI."
616,Bump SDK packages to v1.15.0,all-hands-bot,merged,2026-03-26T15:02:31Z,2026-03-30T15:25:55Z,290,148,3,,bump-sdk-1.15.0,main,APPROVED,false,3,"enyst,all-hands-bot,xingyaoww",3,96.39,0.03,bot,true,true,false,false,true,false,false,true,0,false,0,,,1.14.0,2026-04-02,version-bump,,false,bot,false,no-issue,dependency-bump,not-applicable,false,This is an automated update of SDK package versions (dependency bump) without any user-facing or TUI changes.
610,fix(tui): add missing return type hints to TUI methods,app/github-actions,merged,2026-03-23T09:40:56Z,2026-03-23T15:30:19Z,7,7,4,,fix/code-quality/add-missing-return-type-hints,main,APPROVED,false,3,"enyst,VascoSch92",2,5.82,2.64,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.14.0,2026-04-02,bug-fix,polish,true,bot,false,no-issue,refactor,,true,"This PR adds missing return type annotations to TUI methods purely for code documentation and type safety without altering runtime behavior, so it is classified as a refactor."
606,feat: `make run-watch` - Fast TUI Development,VascoSch92,merged,2026-03-23T09:26:12Z,2026-03-23T16:08:11Z,189,1,5,,vasco/dev-TUI,main,APPROVED,false,9,"malhotra5,all-hands-bot,VascoSch92",13,6.7,0.04,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.14.0,2026-04-02,feature,,false,agent,false,no-issue,feature,,false,"This PR adds a new development feature (`make run-watch`) to automatically reload the CLI/TUI on code and CSS changes, improving developer workflow rather than fixing bugs or refactoring existing functionality."
